sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 19:05:08.429000000,temperature,24.5
senor_1,2024-03-29 19:05:08.429000000,humidity,80.0
senor_1,2024-03-29 19:05:07.398000000,temperature,24.5
senor_1,2024-03-29 19:05:07.398000000,humidity,80.0
senor_1,2024-03-29 19:05:06.360000000,temperature,24.39999962
senor_1,2024-03-29 19:05:06.360000000,humidity,80.0
senor_1,2024-03-29 19:05:05.371000000,temperature,24.39999962
senor_1,2024-03-29 19:05:05.371000000,humidity,80.0
senor_1,2024-03-29 19:05:04.371000000,temperature,24.29999924
senor_1,2024-03-29 19:05:04.371000000,humidity,80.0
senor_1,2024-03-29 19:05:03.388000000,temperature,24.29999924
senor_1,2024-03-29 19:05:03.388000000,humidity,80.0
senor_1,2024-03-29 19:05:02.327000000,temperature,24.20000076
senor_1,2024-03-29 19:05:02.327000000,humidity,79.0
senor_1,2024-03-29 19:05:01.304000000,temperature,24.20000076
senor_1,2024-03-29 19:05:01.304000000,humidity,79.0
senor_1,2024-03-29 19:05:00.282000000,temperature,24.10000038
senor_1,2024-03-29 19:05:00.282000000,humidity,79.0
senor_1,2024-03-29 19:04:59.570000000,temperature,24.10000038
senor_1,2024-03-29 19:04:59.570000000,humidity,79.0
senor_1,2024-03-29 19:04:58.268000000,humidity,79.0
senor_1,2024-03-29 19:04:57.294000000,humidity,79.0
senor_1,2024-03-29 19:04:56.225000000,temperature,23.89999962
senor_1,2024-03-29 19:04:56.225000000,humidity,79.0
senor_1,2024-03-29 19:04:55.213000000,temperature,23.89999962
senor_1,2024-03-29 19:04:55.213000000,humidity,79.0
senor_1,2024-03-29 19:04:54.186000000,temperature,23.79999924
senor_1,2024-03-29 19:04:54.186000000,humidity,80.0
senor_1,2024-03-29 19:04:53.197000000,temperature,23.79999924
senor_1,2024-03-29 19:04:53.197000000,humidity,80.0
senor_1,2024-03-29 19:04:52.160000000,temperature,23.79999924
senor_1,2024-03-29 19:04:52.160000000,humidity,80.0
senor_1,2024-03-29 19:04:51.164000000,temperature,23.79999924
senor_1,2024-03-29 19:04:51.164000000,humidity,80.0
senor_1,2024-03-29 19:04:50.137000000,temperature,23.79999924
senor_1,2024-03-29 19:04:50.137000000,humidity,80.0
senor_1,2024-03-29 19:04:49.171000000,temperature,23.79999924
senor_1,2024-03-29 19:04:49.171000000,humidity,80.0
senor_1,2024-03-29 19:02:27.267000000,temperature,21.79999924
senor_1,2024-03-29 19:02:27.267000000,humidity,99.0
senor_1,2024-03-29 19:02:26.214000000,temperature,21.70000076
senor_1,2024-03-29 19:02:26.214000000,humidity,99.0
senor_1,2024-03-29 19:02:25.199000000,temperature,21.70000076
senor_1,2024-03-29 19:02:25.199000000,humidity,99.0
senor_1,2024-03-29 19:02:24.247000000,temperature,21.60000038
senor_1,2024-03-29 19:02:24.247000000,humidity,99.0
senor_1,2024-03-29 19:02:23.182000000,temperature,21.60000038
senor_1,2024-03-29 19:02:23.182000000,humidity,99.0
senor_1,2024-03-29 19:02:22.143000000,temperature,21.29999924
senor_1,2024-03-29 19:02:22.143000000,humidity,99.0
senor_1,2024-03-29 19:02:21.147000000,temperature,21.29999924
senor_1,2024-03-29 19:02:21.147000000,humidity,99.0
senor_1,2024-03-29 19:02:20.124000000,temperature,21.10000038
senor_1,2024-03-29 19:02:20.124000000,humidity,99.0
